Date,Daily_cases
2021-04-27,360927
2021-04-28,379308
2021-04-29,386555
2021-04-30,401993
2021-05-01,392488
2021-05-02,368060
2021-05-03,357316
2021-05-04,382146
2021-05-05,412431
2021-05-06,414188
2021-05-07,401078
2021-05-08,403405
2021-05-09,366494
2021-05-10,329942
2021-05-11,348421
2021-05-12,362727
2021-05-13,343144
2021-05-14,326098
2021-05-15,311170
2021-05-16,281386
2021-05-17,263533
2021-05-18,267334
2021-05-19,276110
2021-05-20,259551
2021-05-21,257299
2021-05-22,240842
2021-05-23,222315
2021-05-24,196427
2021-05-25,208921
2021-05-26,211298
2021-05-27,186364
2021-05-28,173790
2021-05-29,165553
2021-05-30,152734
2021-05-31,127510
2021-06-01,132788
2021-06-02,134154
2021-06-03,132364
2021-06-04,120529
2021-06-05,114460
2021-06-06,100636
2021-06-07,86498
2021-06-08,92596
2021-06-09,93463
2021-06-10,92291
2021-06-11,84332
2021-06-12,80834
2021-06-13,70421
2021-06-14,60471
2021-06-15,62224
2021-06-16,67208
2021-06-17,62480
2021-06-18,60753
2021-06-19,58226
2021-06-20,53449
2021-06-21,42640
2021-06-22,50848
2021-06-23,54069
2021-06-24,51667
2021-06-25,48698
2021-06-26,50040
2021-06-27,46148
2021-06-28,37566
2021-06-29,45951
2021-06-30,48786
2021-07-01,46617
2021-07-02,44111
2021-07-03,43071
2021-07-04,39796
2021-07-05,34703
2021-07-06,43733
2021-07-07,45892
2021-07-08,43393
2021-07-09,42766
2021-07-10,41506
2021-07-11,37154
2021-07-12,32906
2021-07-13,38865
2021-07-14,41733
2021-07-15,38949
2021-07-16,38079
2021-07-17,41157
2021-07-18,38164
2021-07-19,30093
2021-07-20,42015
2021-07-21,41383
2021-07-22,35342
2021-07-23,58690
2021-07-24,78839
2021-07-25,39361
2021-07-26,29689
2021-07-27,43654
2021-07-28,43509
2021-07-29,44230
2021-07-30,41649
2021-07-31,41831
2021-08-01,40134
2021-08-02,30549
2021-08-03,42625
2021-08-04,42982
2021-08-05,44643
2021-08-06,38628
2021-08-07,39070
2021-08-08,35499
2021-08-09,28204
2021-08-10,38353
2021-08-11,41195
2021-08-12,40120
2021-08-13,38667
2021-08-14,36083
2021-08-15,32937
2021-08-16,25166
2021-08-17,35178
2021-08-18,36401
2021-08-19,36571
2021-08-20,34457
2021-08-21,30948
2021-08-22,25072
2021-08-23,25467
2021-08-24,37593
2021-08-25,46164
2021-08-26,44658
2021-08-27,46759
2021-08-28,45083
2021-08-29,42909
2021-08-30,30941
2021-08-31,41965
2021-09-01,47092
2021-09-02,45352
2021-09-03,42618
2021-09-04,42766
2021-09-05,38948
2021-09-06,31222
2021-09-07,37875
2021-09-08,43263
2021-09-09,34973
2021-09-10,33376
2021-09-11,28591
2021-09-12,27254
2021-09-13,25404
2021-09-14,27176
2021-09-15,30570
2021-09-16,34403
2021-09-17,35662
2021-09-18,30773
2021-09-19,30256
2021-09-20,26115
2021-09-21,26964
2021-09-22,31923
2021-09-23,31382
2021-09-24,29616
2021-09-25,28326
2021-09-26,26041
2021-09-27,18795
2021-09-28,18870
2021-09-29,23529
2021-09-30,26727
2021-10-01,24354
2021-10-02,22842
2021-10-03,20799
2021-10-04,18346
2021-10-05,18833
2021-10-06,22431
2021-10-07,21257
2021-10-08,19740
2021-10-09,18166
2021-10-10,18132
2021-10-11,14313
2021-10-12,15823
2021-10-13,18987
2021-10-14,16862
2021-10-15,15981
2021-10-16,14146
2021-10-17,13596
2021-10-18,13058
2021-10-19,14623
2021-10-20,18454
2021-10-21,15786
2021-10-22,16326
2021-10-23,15906
2021-10-24,14306
2021-10-25,12428
2021-10-26,13451
2021-10-27,16156
2021-10-28,14348
2021-10-29,14313
2021-10-30,12830
2021-10-31,12514
2021-11-01,10423
2021-11-02,11903
2021-11-03,12885
2021-11-04,12729
2021-11-05,10929
2021-11-06,10826
2021-11-07,11478
2021-11-08,10126
